Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,12/22/2020 5:30,32.3182,-86.9023,324832,4389,183625,136818,1,6624.918293,1790301,,1.351159984,84000001,USA,36513.02164,
Alaska,US,12/22/2020 5:30,61.3707,-152.4044,44023,184,7165,36674,2,6017.811618,1200977,,0.417963337,84000002,USA,164169.9417,
Arizona,US,12/22/2020 5:30,33.7298,-111.4312,461345,7972,67734,385639,4,6338.273627,2666030,,1.727990983,84000004,USA,36627.74635,
Arkansas,US,12/22/2020 5:30,34.9697,-92.3731,203107,3295,177629,22183,5,6730.291298,1949529,,1.622297607,84000005,USA,64600.9151,
California,US,12/22/2020 5:30,36.1162,-119.6816,1923887,22837,,1901050,6,4869.093293,29860404,,1.187023978,84000006,USA,75572.57409,
Colorado,US,12/22/2020 5:30,39.0598,-105.3111,311036,4378,16508,290150,8,5401.1158,4076421,,1.407554109,84000008,USA,70786.73167,
Connecticut,US,12/22/2020 5:30,41.5978,-72.7554,167377,5676,9800,151901,9,4694.629072,4034669,,3.391146932,84000009,USA,113165.3356,
Delaware,US,12/22/2020 5:30,39.3185,-75.5071,51056,871,18851,31334,10,5243.159534,905564,,1.705969915,84000010,USA,92996.2496,
District of Columbia,US,12/22/2020 5:30,38.8974,-77.0268,26740,742,19067,6931,11,3788.88245,834138,,2.77486911,84000011,USA,118191.8784,
Florida,US,12/22/2020 5:30,27.7663,-81.6868,1212581,20680,,1191901,12,5645.757744,14728047,,1.705453079,84000012,USA,68573.5513,
Georgia,US,12/22/2020 5:30,33.0406,-83.6431,591438,10399,,581039,13,5570.447744,4999306,,1.758256994,84000013,USA,47085.87008,
Hawaii,US,12/22/2020 5:30,21.0943,-157.4983,20709,282,11958,8469,15,1462.632215,773450,,1.361726785,84000015,USA,54627.11319,
Idaho,US,12/22/2020 5:30,44.2405,-114.4788,130877,1301,50950,78626,16,7323.57245,526368,,0.994063128,84000016,USA,29454.32875,
Illinois,US,12/22/2020 5:30,40.3495,-88.9861,905069,16527,,888542,17,7142.375196,12520979,,1.826048622,84000017,USA,98809.62649,
Indiana,US,12/22/2020 5:30,39.8494,-86.2583,468219,7438,295682,165099,18,6954.898526,5288642,,1.588572869,84000018,USA,78557.18894,
Iowa,US,12/22/2020 5:30,42.0115,-93.2105,268736,3588,214741,50407,19,8517.59232,1149061,,1.335139319,84000019,USA,36419.50892,
Kansas,US,12/22/2020 5:30,38.5266,-96.7265,207784,2448,4184,201152,20,7132.221244,946123,,1.178146537,84000020,USA,32475.83336,
Kentucky,US,12/22/2020 5:30,37.6681,-84.6701,244296,2412,34704,207180,21,5468.081482,3028904,,0.987326849,84000021,USA,67796.00924,
Louisiana,US,12/22/2020 5:30,31.1695,-91.8678,287261,7107,232725,47429,22,6179.258535,3981309,,2.474056694,84000022,USA,85641.75999,
Maine,US,12/22/2020 5:30,44.6939,-69.3819,19285,293,10837,8155,23,1434.669531,1043633,,1.51931553,84000023,USA,77639.01825,
Maryland,US,12/22/2020 5:30,39.0639,-76.8021,253073,5471,9128,238474,24,4186.013815,5324491,,2.161826825,84000024,USA,88071.00277,
Massachusetts,US,12/22/2020 5:30,42.2302,-71.5301,327374,11759,206843,108772,25,4749.711389,10239836,,3.591916279,84000025,USA,148564.8392,
