FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,StateSexRatio,ConfirmedWomen,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
1001,Autauga,Alabama,US,12/22/2020 5:22,32.53952745,-86.64408227,3780,0.515198351,1947,44,0,3736,"Autauga, Alabama, US",6765.827203,1.164021164
1003,Baldwin,Alabama,US,12/22/2020 5:22,30.72774991,-87.72207058,11952,0.515198351,6158,147,0,11805,"Baldwin, Alabama, US",5354.023133,1.229919679
1005,Barbour,Alabama,US,12/22/2020 5:22,31.868263,-85.3871286,1336,0.515198351,688,32,0,1304,"Barbour, Alabama, US",5411.974398,2.395209581
1007,Bibb,Alabama,US,12/22/2020 5:22,32.99642064,-87.1251146,1628,0.515198351,839,42,0,1586,"Bibb, Alabama, US",7269.804412,2.57985258
1009,Blount,Alabama,US,12/22/2020 5:22,33.98210918,-86.56790593,4234,0.515198351,2181,54,0,4180,"Blount, Alabama, US",7321.965898,1.275389702
1011,Bullock,Alabama,US,12/22/2020 5:22,32.10030533,-85.71265535,754,0.515198351,388,20,0,734,"Bullock, Alabama, US",7464.607465,2.652519894
1013,Butler,Alabama,US,12/22/2020 5:22,31.75300095,-86.68057478,1405,0.515198351,724,45,0,1360,"Butler, Alabama, US",7224.393254,3.202846975
1015,Calhoun,Alabama,US,12/22/2020 5:22,33.77483727,-85.82630386,8684,0.515198351,4474,140,0,8544,"Calhoun, Alabama, US",7644.029752,1.612160295
1017,Chambers,Alabama,US,12/22/2020 5:22,32.91360079,-85.39072749,2133,0.515198351,1099,60,0,2073,"Chambers, Alabama, US",6414.265953,2.812939522
1019,Cherokee,Alabama,US,12/22/2020 5:22,34.17805983,-85.60638968,1294,0.515198351,667,23,0,1271,"Cherokee, Alabama, US",4939.685448,1.777434312
1021,Chilton,Alabama,US,12/22/2020 5:22,32.85044126,-86.7173256,2719,0.515198351,1401,49,0,2670,"Chilton, Alabama, US",6120.014405,1.802133137
1023,Choctaw,Alabama,US,12/22/2020 5:22,32.02227341,-88.2656443,476,0.515198351,245,21,0,455,"Choctaw, Alabama, US",3781.07872,4.411764706
1025,Clarke,Alabama,US,12/22/2020 5:22,31.68099859,-87.83548597,2191,0.515198351,1129,24,0,2167,"Clarke, Alabama, US",9275.251884,1.095390233
1027,Clay,Alabama,US,12/22/2020 5:22,33.26984193,-85.85836077,1062,0.515198351,547,29,0,1033,"Clay, Alabama, US",8024.178315,2.730696798
1029,Cleburne,Alabama,US,12/22/2020 5:22,33.67679204,-85.52005899,950,0.515198351,489,15,0,935,"Cleburne, Alabama, US",6371.56271,1.578947368
1031,Coffee,Alabama,US,12/22/2020 5:22,31.39932826,-85.98901039,3227,0.515198351,1663,31,0,3196,"Coffee, Alabama, US",6165.221046,0.960644562
1033,Colbert,Alabama,US,12/22/2020 5:22,34.69847452,-87.80168544,4173,0.515198351,2150,56,0,4117,"Colbert, Alabama, US",7554.17172,1.34196022
1035,Conecuh,Alabama,US,12/22/2020 5:22,31.43401703,-86.99320044,809,0.515198351,417,16,0,793,"Conecuh, Alabama, US",6704.23469,1.977750309
1037,Coosa,Alabama,US,12/22/2020 5:22,32.93690146,-86.24847739,457,0.515198351,235,6,0,451,"Coosa, Alabama, US",4285.84826,1.312910284
1039,Covington,Alabama,US,12/22/2020 5:22,31.2477854,-86.45050893,2725,0.515198351,1404,38,0,2687,"Covington, Alabama, US",7355.124295,1.394495413
1041,Crenshaw,Alabama,US,12/22/2020 5:22,31.72941803,-86.31593104,851,0.515198351,438,33,0,818,"Crenshaw, Alabama, US",6179.204182,3.877790834
1043,Cullman,Alabama,US,12/22/2020 5:22,34.13020303,-86.86888037,6294,0.515198351,3243,69,0,6225,"Cullman, Alabama, US",7513.609015,1.096282173
1045,Dale,Alabama,US,12/22/2020 5:22,31.43037123,-85.61095742,3017,0.515198351,1554,59,0,2958,"Dale, Alabama, US",6135.605629,1.955585018
1047,Dallas,Alabama,US,12/22/2020 5:22,32.32688101,-87.1086671,2605,0.515198351,1342,36,0,2569,"Dallas, Alabama, US",7003.44123,1.381957774
1049,DeKalb,Alabama,US,12/22/2020 5:22,34.45946862,-85.80782906,6427,0.515198351,3311,51,0,6376,"DeKalb, Alabama, US",8987.177157,0.793527307
1051,Elmore,Alabama,US,12/22/2020 5:22,32.59785413,-86.14415284,5579,0.515198351,2874,80,0,5499,"Elmore, Alabama, US",6869.92821,1.433948736
1053,Escambia,Alabama,US,12/22/2020 5:22,31.1256789,-87.15918694,2386,0.515198351,1229,33,0,2353,"Escambia, Alabama, US",6513.253078,1.383067896
1055,Etowah,Alabama,US,12/22/2020 5:22,34.04567266,-86.04051873,8983,0.515198351,4628,82,0,8901,"Etowah, Alabama, US",8783.783784,0.912835356
1057,Fayette,Alabama,US,12/22/2020 5:22,33.72076938,-87.73886638,1313,0.515198351,676,18,0,1295,"Fayette, Alabama, US",8054.226475,1.370906321
1059,Franklin,Alabama,US,12/22/2020 5:22,34.44235334,-87.84289505,3033,0.515198351,1563,36,0,2997,"Franklin, Alabama, US",9670.939353,1.18694362
1061,Geneva,Alabama,US,12/22/2020 5:22,31.09389027,-85.83572839,1497,0.515198351,771,16,0,1481,"Geneva, Alabama, US",5698.298504,1.068804275
1063,Greene,Alabama,US,12/22/2020 5:22,32.85504247,-87.95684022,586,0.515198351,302,20,0,566,"Greene, Alabama, US",7224.756504,3.412969283
