region,state,num_ob,pts_per_obgyn,Over60
alabama,AL,531,9205,36
alaska,AK,99,7449,31.3
arizona,AZ,765,9375,33.6
arkansas,AR,277,10880,31
california,CA,5113,7737,35.9
colorado,CO,760,7494,27.5
connecticut,CT,627,5698,32.9
delaware,DE,125,7737,30.4
district of columbia,DC,239,2939,27.6
florida,FL,2525,8435,36.8
georgia,GA,1365,7707,31.3
hawaii,HI,236,6019,30.9
idaho,ID,163,10762,30.1
illinois,IL,1754,7264,29.4
indiana,IN,736,9092,26.9
iowa,IA,280,11272,28.3
kansas,KS,294,9903,28.3
kentucky,KY,496,9009,31.3
louisiana,LA,661,7050,32.7
maine,ME,166,8063,34.3
maryland,MD,1072,5637,31.5
massachusetts,MA,1042,6624,29.8
michigan,MI,1291,7743,30.4
minnesota,MN,691,8120,25.8
mississippi,MS,320,9333,32.5
missouri,MO,727,8427,27
montana,MT,117,9080,32.5
nebraska,NE,209,9231,29.7
nevada,NV,305,9949,32.1
new hampshire,NH,181,7494,30.4
new jersey,NJ,1363,6536,34.5
new mexico,NM,221,9482,36.7
new york,NY,3292,5936,34
north carolina,NC,1290,8049,27.1
north dakota,ND,73,10412,26
ohio,OH,1459,8012,28.5
oklahoma,OK,356,11076,33.4
oregon,OR,593,7067,26.9
pennsylvania,PA,1690,7578,32.2
puerto rico,PR,437,7312,52.2
rhode island,RI,189,5594,27.5
south carolina,SC,599,8488,32.6
south dakota,SD,95,9287,27.4
tennessee,TN,855,7918,34.4
texas,TX,3308,8676,28.8
utah,UT,339,9325,29.8
vermont,VT,104,6022,27.9
virginia,VA,1101,7736,31.4
washington,WA,871,8652,29.6
west virginia,WV,201,8984,32.3
wisconsin,WI,620,9377,24.5
wyoming,WY,74,7807,28.4
