"Province_State","6/21/20"
"American Samoa",0
"Guam",222
"Northern Mariana Islands",30
"Puerto Rico",6525
"Virgin Islands",76
"Alabama",428
"Alabama",415
"Alabama",271
"Alabama",124
"Alabama",146
"Alabama",324
"Alabama",574
"Alabama",205
"Alabama",507
"Alabama",56
"Alabama",159
"Alabama",185
"Alabama",215
"Alabama",32
"Alabama",22
"Alabama",313
"Alabama",297
"Alabama",138
"Alabama",50
"Alabama",223
"Alabama",114
"Alabama",302
"Alabama",202
"Alabama",628
"Alabama",411
"Alabama",660
"Alabama",148
"Alabama",398
"Alabama",58
"Alabama",778
"Alabama",51
"Alabama",154
"Alabama",258
"Alabama",115
"Alabama",345
"Alabama",149
"Alabama",2943
"Alabama",54
"Alabama",296
"Alabama",75
"Alabama",836
"Alabama",269
"Alabama",415
"Alabama",147
"Alabama",701
"Alabama",237
"Alabama",168
"Alabama",1075
"Alabama",2994
"Alabama",162
"Alabama",3215
"Alabama",747
"Alabama",87
"Alabama",165
"Alabama",356
"Alabama",142
"Alabama",358
"Alabama",201
"Alabama",765
"Alabama",268
"Alabama",182
"Alabama",510
"Alabama",1581
"Alabama",683
"Alabama",92
"Alabama",244
"Alabama",175
"Alaska",0
"Alaska",0
"Alaska",352
"Alaska",6
"Alaska",0
"Alaska",0
"Alaska",0
"Alaska",117
"Alaska",2
"Alaska",0
"Alaska",39
"Alaska",120
"Alaska",21
"Alaska",3
"Alaska",0
"Alaska",0
"Alaska",55
"Alaska",5
"Alaska",3
"Alaska",4
"Alaska",4
"Alaska",2
"Alaska",11
"Alaska",0
"Alaska",3
"Alaska",0
"Alaska",3
"Alaska",0
"Alaska",2
"Arizona",2117
"Arizona",363
"Arizona",1536
"Arizona",160
"Arizona",63
"Arizona",13
"Arizona",273
"Arizona",30136
"Arizona",721
"Arizona",3009
"Arizona",5370
"Arizona",2357
"Arizona",1413
"Arizona",456
"Arizona",4604
"Arkansas",19
"Arkansas",53
"Arkansas",14
"Arkansas",2003
"Arkansas",11
"Arkansas",38
"Arkansas",0
"Arkansas",129
"Arkansas",81
"Arkansas",51
"Arkansas",40
"Arkansas",77
"Arkansas",25
"Arkansas",38
"Arkansas",34
"Arkansas",396
"Arkansas",97
"Arkansas",588
