State,num_ob,Over60,cases,population,births_per_ob,covid_per_ob,num_ob_over60,births_per_over60,covid_per_over60,num_ob_under60,pts_per_under60,births_per_under60,covid_per_under60
alabama,531,36,71813,4887871,108.77777777777777,69.67596837400102,191.16,302.1604938271605,193.54435659444727,339.84000000000003,7410.025544038785,169.96527777777777,108.86870058437657
arizona,765,33.6,150609,7171646,105.5202614379085,98.98165399895504,257.04,314.0483971366324,294.58825594927094,507.96,7098.303208001516,158.91605638239233,149.06875602252265
arkansas,277,31,35246,3013825,133.63898916967509,64.8862199165312,85.87,431.0935134505648,209.31038682752,191.13,8041.028059508023,193.6796944488045,94.03799987903074
california,5113,35.9,421286,39557045,88.973205554469,41.42537525724558,1835.5669999999998,247.83622717122287,115.39101742965343,3277.433,6068.135026072534,138.80375281508424,64.62617044812103
colorado,760,27.5,41680,5695564,82.74342105263158,27.257507586062573,209,300.88516746411483,99.1182094038639,551,5137.563006714703,114.12885662431943,37.59656218767252
connecticut,627,32.9,48223,3572665,55.38277511961722,39.44137733611417,206.283,168.3367024912378,119.88260588484553,420.717,4354.7940716346075,82.53766783847574,58.77999602997642
delaware,125,30.4,13792,967171,84.968,56.96231285493031,38,279.5,187.37602912806025,87,5739.2400856876675,122.08045977011494,81.84240352719871
florida,2525,36.8,379619,21299325,87.73940594059405,76.90238282140234,929.2,238.42229875161428,208.97386636250639,1595.8,6827.168439916931,138.82817395663616,121.68098547690245
georgia,1365,31.3,152302,10519475,92.43369963369963,57.27749321178479,427.245,295.3153342929701,182.99518598014308,937.755,5758.58424687814,134.54686991804897,83.37335256446111
idaho,163,30.1,16322,1754208,131.30674846625766,49.768871433972855,49.063,436.23504473839756,165.3450878205078,113.937,7652.2355636841685,187.84942555973916,71.20010219452483
illinois,1754,29.4,166475,12741080,82.56271379703534,48.2274545521966,515.6759999999999,280.8255571327733,164.0389610618932,1238.324,5228.135783736859,116.94435382016337,68.31084214192153
indiana,736,26.9,58673,6691878,110.9320652173913,40.44583967529173,197.98399999999998,412.3868595442056,150.3562813207871,538.0160000000001,6310.53528105426,151.75385118658178,55.329466040070756
iowa,280,28.3,40208,3156145,134.94642857142858,72.4155320221886,79.24,476.8425037859667,255.88527216321066,200.76,7927.879604653101,188.2098027495517,100.99795261114171
kansas,294,28.3,23481,2911505,123.33673469387755,40.094049668059995,83.20200000000001,435.81885050840117,141.67508716628973,210.798,6933.646882713922,172.01776107932713,55.91917666396094
kentucky,496,31.3,24540,4468402,108.71370967741936,25.12737757826963,155.24800000000002,347.3281459342471,80.27916159191574,340.75199999999995,6659.90612869196,158.24411888998452,36.575513214366275
louisiana,661,32.7,99354,4659978,90.18910741301059,76.88420629055412,216.14700000000002,275.807667929696,235.11989691300948,444.85299999999995,5358.220491618707,134.01056079199196,114.24101974822305
maine,166,34.3,3722,1338404,74.16265060240964,11.43380252268636,56.937999999999995,216.21764024026135,33.33470123232175,109.06200000000001,6258.008873796396,112.88074673121709,17.403047979735703
maryland,1072,31.5,80172,6042718,66.30597014925372,38.51046005810289,337.68,210.49514333096423,122.2554287558822,734.3199999999999,4237.383242477204,96.79703671423903,56.219649719858246
massachusetts,1042,29.8,114320,6902149,66.32341650671785,56.43626138401143,310.516,222.56180035811357,189.3834274631256,731.4839999999999,4853.815214993466,94.47780129162088,80.39353473505903
michigan,1291,30.4,83730,9995915,85.23005422153369,32.888793221287024,392.464,280.3620204655714,108.1868198068652,898.5360000000001,5641.312550407667,122.45697445622656,47.254013248975596
minnesota,691,25.8,47961,5611179,97.4587554269175,34.843425801614565,178.278,377.74711405781983,135.05203799075412,512.722,5493.926392296105,131.3460315726651,46.95879488088217
mississippi,320,32.5,47071,2986530,115.625,75.82313144329896,104,355.7692307692308,233.30194290245834,216,7127.076174112256,171.2962962962963,112.33056510118365
missouri,727,27,36497,6126452,100.78266850068776,25.58725832074898,196.29,373.26914259513984,94.76762341018141,530.71,5883.73035403057,138.05845000094212,35.051038795546546
montana,117,32.5,2812,1062305,98.4017094017094,11.933559103370426,38.025,302.77449046679817,36.718643394985925,78.975,6678.825932936052,145.7803102247547,17.67934681980804
nebraska,209,29.7,23486,1929268,121.95215311004785,56.38394668420812,62.073,410.61331013484124,189.84493833066708,146.927,6588.4560174130465,173.47390200575796,80.20476057497599
nevada,305,32.1,38657,3034392,116.99016393442623,63.15110228952764,97.905,364.45533935958326,196.73240588637893,207.095,7300.535188334348,172.29773775320504,93.0060416635164
