region,total_births
alabama,57761
alaska,10086
arizona,80723
arkansas,37018
california,454920
colorado,62885
connecticut,34725
delaware,10621
district of columbia,9212
florida,221542
georgia,126172
hawaii,16972
idaho,21403
illinois,144815
indiana,81646
iowa,37785
kansas,36261
kentucky,53922
louisiana,59615
maine,12311
maryland,71080
massachusetts,69109
michigan,110032
minnesota,67344
mississippi,37000
missouri,73269
montana,11513
nebraska,25488
nevada,35682
new hampshire,11995
new jersey,101223
new mexico,23039
new york,226238
north carolina,118954
north dakota,10636
ohio,135134
oklahoma,49800
oregon,42188
pennsylvania,135673
rhode island,10506
south carolina,56559
south dakota,11893
tennessee,80751
texas,378624
utah,47209
vermont,5432
virginia,99843
washington,86085
west virginia,18248
wisconsin,64098
wyoming,6562
